column_a,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Other,3.902679672609037,3.4951008282838347,9.397597626051416,12.388449179408656,3.93909931121098,6.238506018013297,-1.8081520855864326,6.729830675282141,2.110901763646935,7.969636946146791,15.638511389852358,4.418678191209023,2.5792731373917195,4.083039980852604,1.3870572355049415,42.847499085313494,202.96930833109158,210.18022630622283,249.61308361200133,252.4527336218952,256.23885940395127
Indicies,,,,,,,,,,,,,,,,,,,,,
Aircraft In Fleet,329.2986301369863,332.42622950819674,331.6246575342466,324.87397260273974,335.8712328767123,347.1366120218579,349.2821917808219,303.0794520547945,304.7945205479452,293.2978142076503,248.66575342465754,246.0054794520548,239.18356164383562,232.1123287671233,172.65205479452055,152.42191780821918,152,207.44535519125682,190.06027397260274,187.9972602739726,190.1013698630137
Seats Per Departure,127.15617348849864,127.61111341650476,128.47082885143698,130.77564205445324,131.27158072132193,127.54040851632368,126.75854155432826,126.62673498141699,126.74106191403203,128.07952982320967,131.02931509804992,131.56170256983847,131.3605399511409,131.87036416600185,134.5130272225877,133.90507697688213,134.03459309579478,130.10938440366155,131.28437321039303,135.49709629687652,137.77423634677993
Average Stage Length,691.6831414528936,715.6436172416651,721.4623133533522,742.3458017143655,760.2706743888659,767.0721646463393,793.1906523075777,819.5872043847481,883.150572901441,906.3966462370987,952.6113182942898,941.5029737640502,926.3282044729824,916.6605776945707,925.3134585712081,994.646895999288,1054.4180388162733,1114.3244399793025,1141.7084109645248,1125.0473680963753,1032.2038485901628
Gallons of Fuel Per Block Hour,920.5529059311582,932.2791387316429,922.6878808891109,912.8389544738942,899.8875278524243,909.6954172664974,886.4979216887205,811.2726055355226,718.3701310896969,755.7187609792597,764.7896974937751,755.8831116264362,747.3836311306119,740.9259235123149,759.6776224535708,776.4154581073816,779.7488524248761,763.6776827632682,766.7194069189923,763.9536055003073,758.4407954652514
Load Factor,0.6763796635102628,0.6962653184948229,0.6955418458569864,0.7013275474014578,0.6825283264751805,0.6961400496279158,0.6942823245434021,0.7124396965440897,0.7537432203768027,0.7773270415071639,0.8081421649636282,0.8175123931839584,0.8256550093005541,0.8216422749423348,0.8181903771611247,0.8302438638647583,0.8446319878871302,0.8307216577499209,0.8441696520450047,0.8540797042317821,0.8554539141895549
Daily Utilization per Aircraft,,,,,,,,,,,,,,,,,,,,,
Block Hours,9.27562939913806,9.404058585659335,9.591095726312137,9.77597213671898,9.95017660062157,9.852202247898498,9.218381337851406,8.964636968469772,8.997698876404495,9.810446495943063,10.358615294778708,10.565529223093371,10.653902545187968,9.961863056385075,10.227712717001491,10.464230506524787,10.385994953136265,10.006809351333553,10.074078879086663,9.65276381177225,9.178376352919136
Airborne Hours,7.752566683861092,7.875217805832264,8.011161322835687,8.166800192276877,8.242893150506147,8.096275540723484,7.666690198293174,7.513405770899625,8.259433707865169,8.210737142165128,8.752178751253263,10.210931931575196,10.690213282628118,9.972946494965829,10.261306293439969,10.495164827263903,10.420079307858689,10.030385248600593,10.107853312575678,9.66395604715895,9.178059290645221
Departures,4.8295505599281165,4.760890291613242,4.809166990243137,4.76860995623171,4.713980406711639,4.565878537921481,4.209886420682731,4.007765041943882,3.7820494382022476,3.97315248679516,4.038617057611582,4.16635112259444,4.213568990401136,3.97197861215047,4.113745279126599,4.039076823525183,3.822566690699351,3.4872176489957196,3.4429308654788673,3.30733470321631,3.3672589966420223
Large Narrowbodies,2654.1219588363883,2885.9423354291234,3022.4418722658734,2754.9892345853114,2683.5805425230537,2938.6258174602563,3722.5255518194226,3763.16319268209,3492.7390899493307,3640.3378886136547,3799.7148570582135,3965.758630049103,4333.932267968684,5975.947948866781,4343.657220530007,4967.603139381986,5886.1051741347055,5219.687881769053,5234.82923378704,5056.871066738589,4125.55941080294
